Labels,Dataset,Train_Images,Val_Images,Test_Images,Model,Train_F1,Val_F1,Test_F1
horizontal_white,4,5718,714,714,yolo-v4-57-21042022,0.6953,0.5602,0.54
horizontal_white,4,5718,714,714,yolo-v4-60-23042022,0.7608,0.5772,0.546
horizontal_white,6,5718,714,714,yolo-v4-55-21042022,0.6738,0.5377,0.517
horizontal_white,6,6391,798,798,yolo-v4-59-23042022,0.6749,0.5607,0.553
horizontal_white,7,1096,137,137,yolo-v4-63-13052022,0.7631,0.5561,0.468
horizontal_white,7G,609,75,75,yolo-v4-66-12052022,0.6703,0.6522,0.612
horizontal_white,8,7087,885,885,yolo-v4-56-20042022,0.7328,0.582,0.554
horizontal_white,8,6391,798,798,yolo-v4-58-21042022,0.6963,0.5799,0.566
horizontal_white,8,5718,714,714,yolo-v4-61-10052022,0.5815,0.4689,0.51
horizontal_white,8,6391,798,798,yolo-v4-62-11052022,0.6812,0.5805,0.552
horizontal_white,8,6391,798,798,yolo-v4-65-14052022,0.3778,0.3108,0.288
horizontal_white,8,6391,798,798,yolo-v4-64-14052022,0.6743,0.5855,0.569
vertical_black,4,2102,262,262,yolo-v4-57-21042022,0.6714,0.5748,0.599
vertical_black,4,2102,262,262,yolo-v4-60-23042022,0.7891,0.6947,0.685
vertical_black,6,2102,262,262,yolo-v4-55-21042022,0.6572,0.6092,0.577
vertical_black,6,2136,266,266,yolo-v4-59-23042022,0.6352,0.5727,0.582
vertical_black,7,680,84,84,yolo-v4-63-13052022,0.6401,0.5429,0.521
vertical_black,7G,572,71,71,yolo-v4-66-12052022,0.5143,0.3704,0.457
vertical_black,8,2248,280,280,yolo-v4-56-20042022,0.6799,0.5342,0.559
vertical_black,8,2136,266,266,yolo-v4-58-21042022,0.6497,0.5904,0.577
vertical_black,8,2102,262,262,yolo-v4-61-10052022,0.4882,0.5174,0.518
vertical_black,8,2136,266,266,yolo-v4-62-11052022,0.5997,0.5508,0.579
vertical_black,8,2136,266,266,yolo-v4-65-14052022,0.1654,0.1339,0.119
vertical_black,8,2136,266,266,yolo-v4-64-14052022,0.6525,0.5537,0.625
horizontal_small,4,2241,279,279,yolo-v4-57-21042022,0.7619,0.6908,0.678
