No Label,No Model,Labels,Dataset,Train_Images,Val_Images,Test_Images,Model,Train_F1,Val_F1,Test_F1
1,1,horizontal_white,4,5718,714,714,yolo-v4-57-21042022,0.6953,0.5602,0.5403
1,2,horizontal_white,4,5718,714,714,yolo-v4-60-23042022,0.7608,0.5772,0.5462
1,3,horizontal_white,6,5718,714,714,yolo-v4-55-21042022,0.6738,0.5377,0.5172
1,4,horizontal_white,6,6391,798,798,yolo-v4-59-23042022,0.6749,0.5607,0.5533
1,5,horizontal_white,7,1096,137,137,yolo-v4-63-13052022,0.7631,0.5561,0.4679
1,6,horizontal_white,7.5,609,75,75,yolo-v4-66-12052022,0.6703,0.6522,0.6119
1,7,horizontal_white,8,7087,885,885,yolo-v4-56-20042022,0.7328,0.582,0.5543
1,8,horizontal_white,8,6391,798,798,yolo-v4-58-21042022,0.6963,0.5799,0.5658
1,9,horizontal_white,8,5718,714,714,yolo-v4-61-10052022,0.5815,0.4689,0.5098
1,10,horizontal_white,8,6391,798,798,yolo-v4-62-11052022,0.6812,0.5805,0.552
1,11,horizontal_white,8,6391,798,798,yolo-v4-65-14052022,0.3778,0.3108,0.2876
2,1,vertical_black,4,2102,262,262,yolo-v4-57-21042022,0.6714,0.5748,0.5991
2,2,vertical_black,4,2102,262,262,yolo-v4-60-23042022,0.7891,0.6947,0.685
2,3,vertical_black,6,2102,262,262,yolo-v4-55-21042022,0.6572,0.6092,0.5771
2,4,vertical_black,6,2136,266,266,yolo-v4-59-23042022,0.6352,0.5727,0.5815
2,5,vertical_black,7,680,84,84,yolo-v4-63-13052022,0.6401,0.5429,0.5205
2,6,vertical_black,7.5,572,71,71,yolo-v4-66-12052022,0.5143,0.3704,0.4571
2,7,vertical_black,8,2248,280,280,yolo-v4-56-20042022,0.6799,0.5342,0.5591
2,8,vertical_black,8,2136,266,266,yolo-v4-58-21042022,0.6497,0.5904,0.5769
2,9,vertical_black,8,2102,262,262,yolo-v4-61-10052022,0.4882,0.5174,0.518
2,10,vertical_black,8,2136,266,266,yolo-v4-62-11052022,0.5997,0.5508,0.5789
2,11,vertical_black,8,2136,266,266,yolo-v4-65-14052022,0.1654,0.1339,0.1193
3,1,horizontal_small,4,2241,279,279,yolo-v4-57-21042022,0.7619,0.6908,0.6775
3,2,horizontal_small,4,2241,279,279,yolo-v4-60-23042022,0.7963,0.6667,0.6859
3,3,horizontal_small,6,2241,279,279,yolo-v4-55-21042022,0.766,0.6571,0.6707
3,4,horizontal_small,6,2343,292,292,yolo-v4-59-23042022,0.7657,0.6602,0.7
3,5,horizontal_small,8,2755,344,344,yolo-v4-56-20042022,0.773,0.7488,0.733
3,6,horizontal_small,8,2343,292,292,yolo-v4-58-21042022,0.7677,0.6518,0.6838
3,7,horizontal_small,8,2241,279,279,yolo-v4-61-10052022,0.6687,0.6255,0.6418
