Model Version;Label;Train_F1;Val_F1;Test_F1;Train;Val;Test
yolo-v4-55-21042022;horizontal_black;61,89%;45,63%;40,94%;1393;174;174
yolo-v4-55-21042022;horizontal_white;67,38%;53,77%;51,72%;5718;714;714
yolo-v4-55-21042022;vertical_black;65,72%;60,92%;57,71%;2102;262;262
yolo-v4-55-21042022;vertical_white;43,39%;25,94;37,25%;1472;183;183
yolo-v4-55-21042022;horizontal_small;76,60%;65,71%;67,07%;2241;279;279
yolo-v4-55-21042022;non-defect;16,10%;0,00%;0,00%;208;26;26
yolo-v4-56-20042022;horizontal_black;62,90%;33,46%;29,48%;1580;197;197
yolo-v4-56-20042022;horizontal_white;73,28%;58,20%;55,43%;7087;885;885
yolo-v4-56-20042022;vertical_black;67,99%;53,42%;55,91%;2248;280;280
yolo-v4-56-20042022;vertical_white;57,81%;38,58%;37,54%;1636;204;204
yolo-v4-56-20042022;horizontal_small;77,30%;74,88%;73,30%;2755;344;344
yolo-v4-56-20042022;rough;52,06%;19,30%;25,21%;735;91;91
yolo-v4-56-20042022;stain;37,16%;35,29%;26,67%;104;13;13
yolo-v4-56-20042022;non-defect;34,76%;10,81%;0,00%;239;29;29
yolo-v4-57-21042022;horizontal_white;69,53%;56,02%;54,03%;5718;714;714
yolo-v4-57-21042022;vertical_black;67,14%;57,48%;59,91%;2102;262;262
yolo-v4-57-21042022;horizontal_small;76,19%;69,08%;67,75%;2241;279;279
yolo-v4-57-21042022;non-defect;22,05%;-100,00%;7,14%;208;26;26
yolo-v4-58-21042022;horizontal_black;57,18%;32,59%;34,81%;1541;192;192
yolo-v4-58-21042022;horizontal_white;69,63%;57,99%;56,58%;6391;798;798
yolo-v4-58-21042022;vertical_black;64,97%;59,04%;57,69%;2136;266;266
yolo-v4-58-21042022;vertical_white;46,52%;36,61%;42,63%;1595;199;199
yolo-v4-58-21042022;horizontal_small;76,77%;65,18%;68,38%;2343;292;292
yolo-v4-58-21042022;rough;44,74%;20,51%;31,30%;714;89;89
yolo-v4-58-21042022;stain;28,10%;14,29%;14,29%;104;13;13
yolo-v4-58-21042022;non-defect;2,48%;-100,00%;-100,00%;239;29;29
yolo-v4-59-23042022;horizontal_black;54,59%;36,56%;35,38%;1541;192;192
yolo-v4-59-23042022;horizontal_white;67,49%;56,07%;55,33%;6391;798;798
yolo-v4-59-23042022;vertical_black;63,52%;57,27%;58,15%;2136;266;266
yolo-v4-59-23042022;vertical_white;50,34%;44,01%;38,06%;1595;199;199
yolo-v4-59-23042022;horizontal_small;76,57%;66,02%;70,00%;2343;292;292
yolo-v4-59-23042022;non-defect;0,82%;-100,00%;-100,00%;239;29;29
yolo-v4-60-23042022;horizontal_white;76,08%;57,72%;54,62%;5718;714;714
yolo-v4-60-23042022;vertical_black;78,91%;69,47%;68,50%;2102;262;262
